,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
206193_s_at,-0.147611723,4.007925264,-3.15894821,0.003498491,0.022998674,-2.24827128,CDSN
224749_at,-0.147522544,6.976522294,-3.517916503,0.00135416,0.011072032,-1.357846314,FAM234A
219485_s_at,-0.14713454,8.666134948,-3.045766083,0.004681762,0.028448027,-2.519208929,PSMD10
209299_x_at,-0.146541881,7.424759123,-3.226373111,0.002935421,0.020114569,-2.084490928,PPIL2
225653_at,-0.146388172,7.246397566,-3.040343631,0.004747068,0.028774492,-2.532058857,TGFBRAP1
219649_at,-0.14637521,8.099520195,-3.210518954,0.003059458,0.020771867,-2.123156067,ALG6
223626_x_at,-0.145769152,7.476195492,-3.192889523,0.003203261,0.021497276,-2.166040259,IFI27L2
204258_at,-0.145602766,9.329423725,-3.009637613,0.005133474,0.03048802,-2.604592996,CHD1
221712_s_at,-0.145577333,7.188105341,-3.046128762,0.004677425,0.028434312,-2.51834903,WDR74
200674_s_at,-0.145321367,13.89388987,-3.86325579,0.000527455,0.005339488,-0.464174125,RPL32
200716_x_at,-0.145273997,13.6770844,-3.231104115,0.002899349,0.019939862,-2.072934869,NA
202092_s_at,-0.145149227,8.383808983,-2.99888217,0.005275731,0.03110315,-2.629905564,ARL2BP
225793_at,-0.145002576,9.464714764,-2.970072175,0.005675393,0.03280149,-2.697465082,LIX1L
212416_at,-0.144702786,8.648748813,-3.01923368,0.005009625,0.029944382,-2.58196761,SCAMP1
216520_s_at,-0.144635745,13.98892615,-3.878950958,0.000505041,0.005154588,-0.422841935,TPT1
226639_at,-0.144114985,7.463785723,-3.200940919,0.003136803,0.021191732,-2.146469477,SFT2D3
200794_x_at,-0.1439583,12.26379706,-3.485708227,0.001476617,0.011843045,-1.439490178,DAZAP2
208794_s_at,-0.143926783,8.499090336,-2.901133484,0.006750943,0.037261033,-2.857654317,SMARCA4
217407_x_at,-0.14392526,7.416472453,-3.429101056,0.0017182,0.013308202,-1.582197691,PPIL2
201173_x_at,-0.143647376,8.564020785,-3.114655319,0.003922931,0.024983841,-2.354910056,NUDC
238068_at,-0.143045346,6.701371194,-3.06301478,0.004479649,0.027553698,-2.47825273,NA
212584_at,-0.14297379,8.459481808,-3.018325521,0.005021224,0.030003871,-2.584110511,AQR
201398_s_at,-0.14275149,11.01027362,-3.077375326,0.004317725,0.026862953,-2.444061138,TRAM1
55081_at,-0.14253609,7.216574383,-3.173256485,0.003371,0.022370364,-2.213659795,MICALL1
