,logFC,AveExpr,t,P.Value,adj.P.Val,B,symbol
1554627_a_at,-0.483147335,7.069879882,-5.929737116,1.45E-06,6.15E-05,5.223234912,ASCC1
223131_s_at,-0.482490216,4.139575315,-3.708474898,0.000807363,0.007397782,-0.868618744,TRIM8
225189_s_at,-0.482393098,4.748542833,-2.972649668,0.005638503,0.032667706,-2.691435419,RAPH1
204670_x_at,-0.482270963,12.25688506,-4.112209833,0.000263598,0.003112115,0.197614266,NA
209078_s_at,-0.481963816,7.295914223,-5.648927955,3.24E-06,0.000110227,4.441465153,TXN2
223404_s_at,-0.481900336,6.265564627,-7.363943528,2.58E-08,3.61E-06,9.131587099,TRMT1L
235390_at,-0.481548234,7.164504998,-7.15577955,4.57E-08,5.37E-06,8.576554086,SREK1IP1
218773_s_at,-0.481485518,7.936723636,-4.665310344,5.49E-05,0.000934934,1.704622825,MSRB2
1562603_at,-0.481143775,5.658242883,-4.75631965,4.23E-05,0.000772586,1.955993245,NA
201775_s_at,-0.481012023,8.428518535,-8.66885725,7.99E-10,3.54E-07,12.48667728,EFCAB14
211537_x_at,-0.480911173,7.789712997,-7.201739999,4.02E-08,4.85E-06,8.699522873,MAP3K7
211547_s_at,-0.48066473,7.062555269,-5.214544124,1.13E-05,0.000285139,3.229567952,PAFAH1B1
233208_x_at,-0.480591121,6.99698622,-7.523689928,1.67E-08,2.78E-06,9.554088563,CPSF2
210338_s_at,-0.480476659,12.43094967,-6.56790329,2.36E-07,1.66E-05,6.984344833,NA
202878_s_at,-0.480310025,10.21212691,-4.671163569,5.40E-05,0.00092314,1.720767775,CD93
1554471_a_at,-0.479923763,6.125351006,-5.436278309,5.97E-06,0.000175337,3.848216255,ANKRD13C
238892_at,-0.479745319,5.031640716,-6.03447527,1.07E-06,4.94E-05,5.514011832,NA
222874_s_at,-0.479692747,6.266118768,-4.747650344,4.33E-05,0.000787558,1.932018396,CLN8
223318_s_at,-0.479181917,8.642012653,-5.60693942,3.66E-06,0.000120823,4.324375756,ALKBH7
200824_at,-0.479163195,9.686431594,-4.243589521,0.000182119,0.002355098,0.551607298,GSTP1
219219_at,-0.478963326,6.897837781,-6.524090332,2.67E-07,1.82E-05,6.864379859,TMEM160
214992_s_at,-0.478926229,7.085364605,-5.070718948,1.71E-05,0.000389328,2.828791098,DNASE2
242052_at,-0.478748205,5.202662603,-3.025790313,0.004926638,0.029564692,-2.566486214,NA
226604_at,-0.478711199,4.87958289,-4.778699286,3.96E-05,0.000734866,2.017911162,TMTC3
206991_s_at,-0.478470084,9.14992141,-3.150154002,0.003579117,0.023396486,-2.269505092,CCR5
213104_at,-0.478363716,6.671255607,-5.420493894,6.25E-06,0.000181639,3.804166484,TSR3
217775_s_at,-0.478213828,7.430259817,-3.262581548,0.002669922,0.018749098,-1.995838146,RDH11
203909_at,-0.47807093,8.283722918,-5.949788531,1.37E-06,5.89E-05,5.278943031,SLC9A6
224813_at,-0.477973623,7.08289794,-5.711335992,2.71E-06,9.63E-05,4.615423631,WASL
210569_s_at,-0.477959179,6.724730804,-4.138045059,0.000245156,0.002947857,0.266989179,SIGLEC9
226946_at,-0.477948952,5.80894515,-4.890313069,2.88E-05,0.000576952,2.327253311,NADK2
202899_s_at,-0.477946655,9.988636551,-6.004104939,1.17E-06,5.26E-05,5.429752718,SRSF3
235907_at,-0.477826165,6.860652541,-6.177697814,7.13E-07,3.71E-05,5.910678636,TMEM33
213355_at,-0.477571705,5.653650049,-3.19599568,0.003177464,0.021379259,-2.158492923,ST3GAL6
230263_s_at,-0.47754353,8.039026007,-5.242775762,1.04E-05,0.000268304,3.308300658,DOCK5
221094_s_at,-0.477169625,6.988335928,-5.933509179,1.43E-06,6.12E-05,5.233716098,ELP3
208055_s_at,-0.477086687,6.247952509,-4.884580701,2.93E-05,0.000584407,2.311345679,HERC4
206011_at,-0.476970987,10.2175635,-6.648934161,1.88E-07,1.44E-05,7.205781123,CASP1
212271_at,-0.476661406,9.03809837,-6.236301543,6.03E-07,3.28E-05,6.072627737,MAPK1
1557064_s_at,-0.476573755,5.737641014,-6.284817614,5.25E-07,2.97E-05,6.206528062,HGSNAT
205996_s_at,-0.476015767,8.010402769,-6.334577458,4.56E-07,2.71E-05,6.343691278,AK2
201568_at,-0.476013587,9.371284627,-6.568868966,2.35E-07,1.66E-05,6.986987135,UQCRQ
222320_at,-0.475645365,5.732306448,-3.121816712,0.003851134,0.024678942,-2.337720708,NA
237778_at,-0.475470707,6.171297769,-4.257034933,0.000175334,0.00229188,0.587996842,NA
219657_s_at,-0.475122369,7.285126206,-5.003217444,2.08E-05,0.000451427,2.640947831,KLF3
226934_at,-0.474735351,7.443934292,-3.8265964,0.000583655,0.005769538,-0.560491955,CPSF6
218272_at,-0.474535816,7.805816391,-2.916877994,0.006489582,0.036196258,-2.821255494,TTC38
236887_at,-0.474119418,4.530609231,-4.175850343,0.000220433,0.002718482,0.368720376,KIN
206743_s_at,-0.4740507,6.612427683,-4.201520626,0.000205061,0.002582155,0.437937291,ASGR1
204480_s_at,-0.474014567,8.533895303,-4.374634836,0.000125679,0.001759212,0.907441229,C9orf16
213120_at,-0.473650227,4.905991297,-3.322439489,0.002280724,0.016586668,-1.848247109,UHRF1BP1L
227600_at,-0.473590054,5.462122069,-4.07225406,0.000294832,0.003388682,0.090562946,MRPS30
206674_at,-0.473219279,6.395071764,-3.497124725,0.001432035,0.01154135,-1.410587246,FLT3
232544_at,-0.473159009,4.150198637,-3.734612564,0.00075161,0.007000729,-0.800739911,NA
230226_s_at,-0.472996026,6.357414504,-5.619649405,3.52E-06,0.000118144,4.359822524,KDM5A
200900_s_at,-0.472872021,8.882296617,-3.833472946,0.000572685,0.00568681,-0.542448742,M6PR
201772_at,-0.472823748,8.896270225,-5.144648775,1.38E-05,0.00033148,3.03472325,AZIN1
1564064_a_at,-0.472787878,6.709782176,-8.84512586,5.08E-10,2.75E-07,12.92214996,ATP11B
201096_s_at,-0.472686488,8.975531254,-6.354401872,4.31E-07,2.60E-05,6.39828779,ARF4
235159_at,-0.472647044,5.937848726,-4.815797329,3.56E-05,0.000677883,2.120633923,NA
222736_s_at,-0.472631742,5.932980419,-7.52608865,1.65E-08,2.77E-06,9.560409339,TMEM38B
220104_at,-0.47238439,5.395327914,-3.87617924,0.000508931,0.005188472,-0.43014516,ZC3HAV1
205787_x_at,-0.472278888,7.104195096,-4.901580442,2.79E-05,0.0005625,2.358526718,NA
238001_at,-0.47214619,5.515809318,-5.124465596,1.47E-05,0.000346167,2.978484687,KCTD6
225129_at,-0.472093433,7.860773785,-4.698161194,4.99E-05,0.000871535,1.795275404,CPNE2
221143_at,-0.471885029,4.810186391,-5.517964123,4.72E-06,0.000145787,4.07616266,RPA4
1557918_s_at,-0.471789842,5.267286052,-4.81238841,3.60E-05,0.000682887,2.111190595,SLC16A1
207920_x_at,-0.471653583,6.300402212,-6.553866625,2.45E-07,1.71E-05,6.945928468,ZFX
200968_s_at,-0.471222535,9.632811584,-4.94859986,2.43E-05,0.000509429,2.489112198,PPIB
227415_at,-0.471128785,6.500218718,-4.24281995,0.000182515,0.002359529,0.549525348,DGKH
1555630_a_at,-0.471050667,7.45529783,-4.451720141,0.000100956,0.001487401,1.11787987,NA
232165_at,-0.470939288,5.253567263,-3.30687626,0.002376328,0.017090991,-1.886743048,EPPK1
227344_at,-0.470861046,9.184428818,-7.918680193,5.74E-09,1.48E-06,10.58521083,IKZF1
236160_at,-0.470728086,6.958796229,-5.20849405,1.15E-05,0.000288689,3.212697617,TRIP11
238000_at,-0.470409706,5.711306159,-3.06353704,0.004473661,0.02753235,-2.47701074,NA
221430_s_at,-0.47040245,6.99175317,-5.25647893,1.00E-05,0.000261335,3.346521729,RNF146
1569706_at,-0.470121884,3.507749415,-3.582039145,0.00113892,0.009699444,-1.19437496,MYSM1
209404_s_at,-0.469998354,8.480387278,-4.615551096,6.33E-05,0.001046639,1.567502463,NA
202049_s_at,-0.469910237,7.212306089,-6.790317724,1.26E-07,1.11E-05,7.590722011,ZMYM4
202064_s_at,-0.469905155,6.413150462,-4.615139108,6.33E-05,0.001047239,1.566368161,SEL1L
236006_s_at,-0.469902861,7.443586527,-4.27037097,0.000168851,0.002226165,0.624118405,AKAP10
228754_at,-0.46970705,9.474200425,-7.456178482,2.00E-08,3.06E-06,9.375905613,SLC6A6
235440_at,-0.469626011,6.226669968,-4.993665372,2.14E-05,0.000460424,2.614382649,SPTY2D1
235532_at,-0.469515339,5.24426076,-5.106826291,1.54E-05,0.000358845,2.929345084,NA
226022_at,-0.46932684,7.029663297,-2.930522831,0.006270821,0.035353384,-2.789621115,SASH1
200692_s_at,-0.469225637,8.115166828,-6.901619069,9.25E-08,8.75E-06,7.892412556,HSPA9
1555226_s_at,-0.46908067,9.394664836,-6.093995955,9.05E-07,4.37E-05,5.679002487,C1orf43
224615_x_at,-0.468830932,7.586723245,-5.302212526,8.79E-06,0.000235721,3.474104282,HM13
210692_s_at,-0.468790697,7.426404154,-4.327842614,0.000143509,0.001956209,0.780093984,SLC43A3
238988_at,-0.468483036,6.757758277,-4.790903541,3.83E-05,0.000714422,2.051692948,NA
204107_at,-0.468474836,6.765267821,-6.05377975,1.01E-06,4.76E-05,5.56754482,NFYA
238597_at,-0.468471588,5.101704843,-4.532419352,8.02E-05,0.001250345,1.338977452,ANKRD13C
236153_at,-0.468469497,6.818022838,-6.128954806,8.19E-07,4.07E-05,5.775814964,NA
219210_s_at,-0.468417993,7.4645124,-6.470661106,3.10E-07,2.04E-05,6.717868761,RAB8B
202062_s_at,-0.468073637,7.155691618,-5.29364765,9.01E-06,0.000240559,3.450208678,SEL1L
241364_at,-0.467990374,6.558767372,-3.168447093,0.00341335,0.022569353,-2.225302425,MACO1
206978_at,-0.467988827,10.33600476,-4.022393102,0.000338938,0.003788601,-0.042599877,CCR2
215641_at,-0.46771753,3.414217043,-4.730602344,4.55E-05,0.000816691,1.884890106,SEC24D
201422_at,-0.467700191,12.47422952,-4.657182242,5.62E-05,0.0009516,1.682208326,NA
209099_x_at,-0.467634018,5.96361042,-3.940097688,0.000426262,0.004525408,-0.261289591,JAG1
218424_s_at,-0.46754141,6.140829499,-3.653331501,0.000938482,0.008318985,-1.011233274,STEAP3
1552613_s_at,-0.467467164,8.553449721,-3.618340249,0.001032165,0.008969111,-1.101300245,CDC42SE2
210125_s_at,-0.467394615,9.524386212,-5.104411057,1.55E-05,0.000360525,2.922617535,BANF1
225878_at,-0.467220115,6.486275798,-6.241173151,5.95E-07,3.25E-05,6.086080148,KIF1B
212802_s_at,-0.467213742,8.727812081,-7.182524788,4.24E-08,5.02E-06,8.648140568,GAPVD1
223771_at,-0.466817876,3.973438044,-5.591926435,3.82E-06,0.000124665,4.282502449,TMEM87A
203226_s_at,-0.466704975,7.620134729,-6.086945038,9.23E-07,4.43E-05,5.659467667,TSPAN31
239082_at,-0.466670571,5.572105402,-3.823871347,0.000588058,0.005806766,-0.567639055,FZD3
219929_s_at,-0.466485871,5.590144131,-4.783498788,3.91E-05,0.000727034,2.031195005,ZFYVE21
224175_s_at,-0.466441758,5.80299903,-4.408257774,0.000114235,0.001636179,0.999134134,NA
203880_at,-0.466399595,8.356543831,-4.949855872,2.42E-05,0.000508176,2.492602163,NA
216899_s_at,-0.46636666,8.510023518,-3.771920117,0.000678471,0.006454743,-0.703550633,SKAP2
215966_x_at,-0.466355656,4.594171297,-3.645569393,0.000958524,0.008457486,-1.031242055,GK3P
200597_at,-0.466108355,8.051062053,-5.549595182,4.31E-06,0.000136888,4.164415566,EIF3A
205076_s_at,-0.466041549,8.064454955,-4.200881552,0.000205431,0.002584373,0.436212758,MTMR11
209053_s_at,-0.465986171,5.8460648,-6.905037972,9.16E-08,8.73E-06,7.901660229,NSD2
224218_s_at,-0.465975487,5.933487705,-4.594683452,6.72E-05,0.001093427,1.510070311,TRPS1
203971_at,-0.465715979,6.780163526,-5.375713695,7.11E-06,0.000200469,3.679199033,SLC31A1
204158_s_at,-0.465444061,9.052527828,-4.666135574,5.47E-05,0.000933892,1.706898866,TCIRG1
202897_at,-0.465297322,8.165767053,-3.777798387,0.000667598,0.006379733,-0.68820541,SIRPA
222212_s_at,-0.465221505,9.145041218,-5.609004472,3.63E-06,0.000120488,4.330135165,CERS2
222985_at,-0.465187237,9.977276102,-8.91175957,4.29E-10,2.49E-07,13.08562266,YWHAG
1569815_x_at,-0.465182733,4.552461175,-4.662926823,5.52E-05,0.000940162,1.698049263,STRN
223066_at,-0.465161,8.979890998,-6.076593832,9.51E-07,4.53E-05,5.630784207,SNAPIN
238638_at,-0.465122722,6.084017366,-4.420253927,0.000110406,0.001596524,1.031885134,SLC37A2
232181_at,-0.465073279,5.802757695,-4.475959829,9.42E-05,0.001414924,1.18420955,PPARGC1B
206565_x_at,-0.465042101,7.824789521,-3.279457951,0.002554181,0.018079994,-1.954355204,GUSBP14
235072_s_at,-0.464936686,7.446380424,-3.38986837,0.001907526,0.014415199,-1.680499066,KIF13A
219600_s_at,-0.464609176,8.331054917,-5.558305599,4.20E-06,0.000134515,4.188716154,TMEM50B
215236_s_at,-0.464571703,8.440676053,-5.171162448,1.28E-05,0.000313281,3.108619435,PICALM
226640_at,-0.464534584,6.13572952,-6.350048129,4.37E-07,2.61E-05,6.386300028,DAGLB
204392_at,-0.464500642,7.345497779,-4.287102954,0.000161049,0.002138782,0.669476996,CAMK1
216133_at,-0.464475025,6.578119265,-3.054519614,0.004578134,0.028014493,-2.498439426,YME1L1
226664_at,-0.463867568,6.671528274,-5.718253899,2.65E-06,9.47E-05,4.634700718,TBC1D20
226437_at,-0.463812567,7.604854229,-5.753597878,2.40E-06,8.84E-05,4.733167053,YIF1B
208074_s_at,-0.463674003,9.58229522,-6.679843986,1.72E-07,1.36E-05,7.290096078,AP2S1
229850_at,-0.463545116,6.279522616,-2.9027004,0.006724494,0.037186378,-2.854036848,KDSR
241940_at,-0.463446633,6.841939522,-4.475410933,9.44E-05,0.001416748,1.182706752,NA
235000_at,-0.463309051,4.729500607,-4.603893627,6.54E-05,0.001071545,1.535413221,LPP
1552806_a_at,-0.463237966,6.237363125,-3.565127672,0.001192232,0.01003314,-1.237605999,SIGLEC10
221744_at,-0.463224845,8.127760829,-4.764860201,4.13E-05,0.000757691,1.979617855,DCAF7
226671_at,-0.463196154,7.256113713,-4.349612076,0.000134923,0.001860978,0.839302154,LAMP2
223145_s_at,-0.463151297,8.652009561,-5.193374843,1.20E-05,0.000297854,3.1705421,AKIRIN2
1554260_a_at,-0.462983366,7.468439412,-5.084987928,1.64E-05,0.000376631,2.868522558,FRYL
212065_s_at,-0.462852725,7.521769051,-6.074476421,9.57E-07,4.55E-05,5.624916067,USP34
207643_s_at,-0.462611291,8.84911332,-6.182046266,7.04E-07,3.69E-05,5.922702958,TNFRSF1A
219368_at,-0.462449546,5.655702064,-3.814878084,0.000602821,0.005915153,-0.591213459,NAP1L2
210188_at,-0.462430494,6.116287939,-5.267546933,9.71E-06,0.000254743,3.377395126,GABPA
203810_at,-0.462236845,5.188570435,-4.238306376,0.000184855,0.002383716,0.537316507,DNAJB4
1555996_s_at,-0.462160492,7.371795119,-3.116398734,0.003905336,0.024894981,-2.350727247,NA
202434_s_at,-0.462044264,5.157667586,-3.015717305,0.005054676,0.030137887,-2.590262952,CYP1B1
216683_at,-0.462020758,3.850194093,-3.684488192,0.000862051,0.007791807,-0.930754256,NA
209622_at,-0.46192204,6.882771176,-5.82023049,1.98E-06,7.76E-05,4.918694043,STK16
233228_at,-0.461842557,6.99944602,-3.957856036,0.000405727,0.004358393,-0.214218585,NA
208488_s_at,-0.461560234,6.590923574,-4.090730021,0.000279962,0.003256792,0.140027582,CR1
228772_at,-0.461346962,5.937376099,-4.412931626,0.000112728,0.001621092,1.011892096,HNMT
232615_at,-0.461258988,10.85870626,-3.617320955,0.001035026,0.008986827,-1.103918777,NA
231644_at,-0.461225631,6.927559472,-2.990958723,0.005382909,0.031581776,-2.648521596,NA
213875_x_at,-0.461175144,7.980703635,-4.645596569,5.81E-05,0.000976413,1.65026973,C6orf62
209389_x_at,-0.461063502,9.880257324,-6.025185762,1.10E-06,5.04E-05,5.488244191,DBI
207543_s_at,-0.460847705,7.422315957,-5.643266021,3.29E-06,0.000111688,4.425678354,P4HA1
217197_x_at,-0.460834269,7.410921734,-6.140427428,7.93E-07,3.98E-05,5.807570745,N4BP2L1
218388_at,-0.460745501,9.157812809,-6.166002747,7.37E-07,3.81E-05,5.878333631,PGLS
241607_at,-0.460637503,4.824800958,-4.586726896,6.87E-05,0.001113593,1.488183888,CRYZL2P
201529_s_at,-0.460538953,8.604915523,-6.389147987,3.91E-07,2.42E-05,6.493908624,RPA1
242007_at,-0.460364157,3.724200287,-5.907003427,1.54E-06,6.44E-05,5.160052895,FBXO30
229440_at,-0.460340279,4.658072642,-4.250388568,0.000178656,0.002324063,0.570005109,RBM47
210314_x_at,-0.460321699,9.284227787,-3.943742203,0.000421966,0.004487648,-0.251634786,TNFSF13
236974_at,-0.460160645,5.927207913,-4.217128253,0.000196236,0.002496319,0.48007532,NA
228813_at,-0.460127542,6.458666876,-5.845906835,1.84E-06,7.33E-05,4.99014364,HDAC4
234649_at,-0.460032926,4.627008366,-3.566695027,0.001187192,0.010004578,-1.23360285,NA
1564227_at,-0.460030377,5.095344078,-3.969349618,0.000392956,0.004261896,-0.183717576,NA
1555041_a_at,-0.459809842,8.974169478,-4.746249083,4.35E-05,0.000789679,1.928143792,NAGA
216684_s_at,-0.459772558,5.585939184,-5.193961866,1.20E-05,0.000297709,3.172178741,SS18
214931_s_at,-0.459544257,7.173782175,-4.467173542,9.66E-05,0.001441659,1.160158358,SRPK2
219944_at,-0.459504609,5.963056389,-5.261652067,9.88E-06,0.000258602,3.360951569,CLIP4
211098_x_at,-0.45941863,8.204015207,-5.358486798,7.48E-06,0.000208937,3.631126077,TMCO1
243532_at,-0.459390059,4.143495351,-4.422445554,0.000109721,0.001590395,1.037870575,LNPEP
225997_at,-0.459088062,8.229473558,-4.400425639,0.000116805,0.001663536,0.977761638,MOB1B
1555125_at,-0.458935399,6.017531483,-5.570338929,4.06E-06,0.000131087,4.22228541,PAXBP1
238146_at,-0.458874848,5.810009907,-5.122321409,1.48E-05,0.000348161,2.972510862,NA
231989_s_at,-0.458815059,7.897394694,-3.016391427,0.00504601,0.030102629,-2.588673062,NA
227045_at,-0.458793627,5.244837917,-4.726678216,4.60E-05,0.000823475,1.874045451,ZNF614
202886_s_at,-0.458774059,5.679242164,-4.351615489,0.000134159,0.001852774,0.844754391,PPP2R1B
201461_s_at,-0.458687784,6.027285979,-2.983372254,0.005487457,0.032071269,-2.66632071,MAPKAPK2
218362_s_at,-0.458622187,6.63833677,-4.635819792,5.97E-05,0.000997662,1.623327699,DIS3
209208_at,-0.458620825,7.887948669,-5.585239922,3.89E-06,0.000126617,4.26385161,MPDU1
208702_x_at,-0.458575851,10.31130899,-4.682695777,5.22E-05,0.000901708,1.752586201,APLP2
225986_x_at,-0.458422229,7.645494685,-6.926681942,8.63E-08,8.49E-06,7.960176749,CPSF2
1555137_a_at,-0.458249875,5.031328231,-3.348207229,0.002130498,0.015719972,-1.784325421,FGD6
208938_at,-0.458179889,6.167143435,-4.060332846,0.000304836,0.003479518,0.058681318,PRCC
244171_at,-0.457846115,3.558386107,-4.289574752,0.000159927,0.002126982,0.676181394,MKLN1
1554553_s_at,-0.457584372,7.346896454,-4.451596181,0.000100991,0.001487525,1.117540853,YIF1B
1559121_s_at,-0.457198899,5.928156906,-5.665992148,3.08E-06,0.000105872,4.489039844,NA
201929_s_at,-0.457061244,4.615744364,-4.68911233,5.13E-05,0.000889138,1.770295242,PKP4
221590_s_at,-0.456901699,3.874940484,-4.782371052,3.92E-05,0.000728895,2.028073552,ALDH6A1
215193_x_at,-0.456840912,12.59147737,-5.326547524,8.20E-06,0.000223934,3.542002455,NA
227716_at,-0.456787634,7.58867656,-3.736758734,0.000747202,0.006975673,-0.795158531,UBXN11
243360_at,-0.456479021,5.584637669,-4.249364814,0.000179174,0.002328743,0.567234425,NA
227410_at,-0.456170792,7.855740221,-4.217771565,0.00019588,0.002493535,0.481813019,FAM43A
228485_s_at,-0.456079675,5.050186854,-5.371702592,7.20E-06,0.000202382,3.66800561,SLC44A1
209157_at,-0.455120273,8.701096201,-7.209610071,3.94E-08,4.80E-06,8.72055583,DNAJA2
209474_s_at,-0.454711469,7.295280533,-4.45778464,9.92E-05,0.001469476,1.134468028,ENTPD1
240310_at,-0.45467416,5.054164582,-5.163702802,1.31E-05,0.000318237,3.087826685,TOR1AIP1
202873_at,-0.454627157,5.791374483,-4.444911616,0.00010293,0.001510794,1.099262054,ATP6V1C1
228932_at,-0.454525488,5.941801463,-6.571541667,2.33E-07,1.65E-05,6.994299813,AGO3
222258_s_at,-0.454521733,4.929165621,-3.696474446,0.000834288,0.007592324,-0.899723905,SH3BP4
224872_at,-0.454485538,7.59482033,-8.604517608,9.44E-10,4.02E-07,12.3266352,DIP2B
202428_x_at,-0.45431859,10.78613588,-7.145611412,4.70E-08,5.48E-06,8.549317164,DBI
208363_s_at,-0.454236964,6.563749028,-5.840863748,1.87E-06,7.41E-05,4.976112193,INPP4A
202139_at,-0.454052854,8.131001451,-7.220520177,3.82E-08,4.71E-06,8.74970182,AKR7A2
205067_at,-0.453995256,6.864472444,-3.578100233,0.001151127,0.009772876,-1.204451477,IL1B
207907_at,-0.453629721,6.857624847,-3.193800574,0.003195674,0.021464802,-2.163826967,TNFSF14
218379_at,-0.453466047,7.831827371,-5.785452285,2.19E-06,8.28E-05,4.821878738,RBM7
225416_at,-0.453447465,7.785834651,-8.66668231,8.04E-10,3.54E-07,12.4812767,RLIM
226000_at,-0.453159158,5.025985484,-4.3742337,0.000125822,0.001760314,0.906348218,CTTNBP2NL
204843_s_at,-0.453047073,5.31046538,-6.597654721,2.17E-07,1.57E-05,7.065714416,PRKAR2A
230201_at,-0.452994826,4.248683129,-4.707123404,4.87E-05,0.000855205,1.820023411,FXR1
1557538_at,-0.452982608,4.907332609,-3.543541441,0.0012638,0.01050445,-1.292665466,NA
226460_at,-0.452851393,7.641049936,-5.223612315,1.10E-05,0.000279849,3.254855649,FNIP2
229066_at,-0.452791756,6.898372434,-7.728134672,9.57E-09,2.01E-06,10.09025909,NA
218046_s_at,-0.452735389,7.275774371,-7.581275963,1.42E-08,2.51E-06,9.705636659,MRPS16
201986_at,-0.452665426,8.894019167,-5.167215285,1.30E-05,0.000315875,3.097617065,MED13
204150_at,-0.452530872,7.634559473,-3.945665086,0.000419717,0.004470684,-0.246539664,STAB1
224535_s_at,-0.452516118,6.96037642,-4.718791948,4.71E-05,0.000834615,1.85225498,MRPL57
320_at,-0.452242162,5.190441398,-3.70556869,0.000813805,0.007444333,-0.876155106,PEX6
212286_at,-0.452094646,8.338827994,-5.876322303,1.69E-06,6.89E-05,5.074747926,ANKRD12
204620_s_at,-0.451959024,12.34929526,-4.752961391,4.27E-05,0.000778501,1.946705313,VCAN
234411_x_at,-0.451706326,5.172485221,-3.462946996,0.001569533,0.012429635,-1.496993365,CD44
204186_s_at,-0.451436209,7.70782992,-4.706309458,4.88E-05,0.000856455,1.817775517,PPID
226364_at,-0.451393372,5.928734667,-3.95395287,0.000410156,0.004391994,-0.224570236,HIP1
230599_at,-0.451219003,8.009741145,-4.139517137,0.000244144,0.002940218,0.270945732,NA
228567_at,-0.451100894,6.138409856,-4.23772085,0.000185161,0.002386987,0.535732948,GAN
242112_at,-0.450830866,3.765353631,-5.96680022,1.30E-06,5.69E-05,5.326191359,LSM11
213584_s_at,-0.450714382,6.028629109,-4.526163964,8.17E-05,0.0012663,1.321811955,CREBZF
203827_at,-0.450656089,7.007859675,-4.985814908,2.19E-05,0.000469391,2.592553063,WIPI1
219326_s_at,-0.450531498,6.461611308,-5.409531383,6.45E-06,0.000185886,3.773573227,B3GNT2
238539_at,-0.450449145,6.599963239,-4.822769822,3.49E-05,0.000667233,2.139951567,HPS3
205920_at,-0.450330451,5.324605729,-4.672300335,5.38E-05,0.000921005,1.723903682,SLC6A6
203582_s_at,-0.450279035,7.823987079,-5.998818779,1.19E-06,5.32E-05,5.415082035,NA
1552584_at,-0.450208987,9.04314531,-5.381322567,7.00E-06,0.000198073,3.694851326,IL12RB1
200838_at,-0.450185355,9.7493465,-4.284888898,0.000162061,0.002149299,0.663472471,CTSB
223207_x_at,-0.44989882,8.506372127,-6.583626326,2.26E-07,1.62E-05,7.027356546,PHPT1
213274_s_at,-0.44989196,8.07237517,-3.391655693,0.00189848,0.014358751,-1.676031756,CTSB
242224_at,-0.44915833,4.887896405,-4.291866586,0.000158894,0.002118391,0.682398494,GPATCH2
225363_at,-0.449144975,10.31727522,-7.300250605,3.07E-08,4.02E-06,8.96228831,PTEN
207980_s_at,-0.449115383,8.775897857,-3.89869258,0.000478167,0.004946786,-0.370774339,CITED2
200755_s_at,-0.4490075,7.546900003,-4.420967778,0.000110182,0.001594553,1.033834629,CALU
1564972_x_at,-0.448535491,3.832461372,-4.860290133,3.14E-05,0.000616959,2.243960912,SETDB2
201898_s_at,-0.448530254,8.658700141,-6.808936824,1.20E-07,1.07E-05,7.641275141,UBE2A
220814_at,-0.448485193,4.626456454,-4.019079679,0.000342088,0.003816606,-0.051431676,SLC30A6
216614_at,-0.448165409,6.469302466,-3.779775954,0.000663978,0.006354456,-0.683041046,NA
213119_at,-0.447980722,7.40357564,-5.048749252,1.82E-05,0.000409471,2.767632728,SLC36A1
235082_at,-0.447978639,5.101680618,-3.357790786,0.002077089,0.015421625,-1.760493537,PCNX1
210313_at,-0.447968052,6.677213846,-3.579649695,0.00114631,0.009747199,-1.20048818,LILRA4
210506_at,-0.447901844,6.052793344,-4.151347751,0.000236161,0.002864898,0.302757217,FUT7
202101_s_at,-0.447767104,7.836804172,-6.69028841,1.67E-07,1.33E-05,7.318566484,RALB
218101_s_at,-0.44769796,9.67025186,-5.68989103,2.88E-06,0.000100484,4.555658042,NA
211429_s_at,-0.447459738,11.74626564,-4.369562649,0.000127501,0.001780156,0.893622211,SERPINA1
201964_at,-0.447399353,8.545813813,-8.064314365,3.89E-09,1.14E-06,10.96031047,SETX
242739_at,-0.447389549,6.001603837,-3.437571051,0.001679771,0.013095889,-1.560909556,NA
208625_s_at,-0.447309429,7.84486382,-7.592977115,1.38E-08,2.48E-06,9.736380508,EIF4G1
238622_at,-0.447023817,6.459591466,-3.911093133,0.000462006,0.004813292,-0.338023894,RAP2B
204049_s_at,-0.446968134,8.325115037,-5.854027469,1.80E-06,7.21E-05,5.012735732,PHACTR2
232963_at,-0.446926942,6.925113368,-3.580516428,0.001143624,0.009728899,-1.198270903,NA
1553117_a_at,-0.446925899,9.388355409,-7.701587694,1.03E-08,2.12E-06,10.0209331,STK38
219696_at,-0.446826702,8.268953262,-4.317272902,0.00014787,0.002001185,0.751371354,DENND1B
201526_at,-0.446649128,8.383257651,-5.997628093,1.19E-06,5.33E-05,5.411777329,ARF5
243558_at,-0.4465985,3.866204544,-4.89514307,2.84E-05,0.000571317,2.340658388,NA
214216_s_at,-0.4465463,5.088588561,-5.518653367,4.71E-06,0.000145787,4.078085815,LARP4B
242851_at,-0.446362962,6.946542368,-3.988955884,0.000372073,0.004081176,-0.131623902,MFSD4B
1560916_a_at,-0.445835548,5.595325075,-3.656389179,0.000930699,0.008263394,-1.003346813,DPY19L1
226510_at,-0.445721406,6.587797104,-5.292882979,9.03E-06,0.000240727,3.448075327,HEATR5A
1555814_a_at,-0.445669969,11.38709751,-6.873304525,1.00E-07,9.32E-06,7.815780277,RHOA
226114_at,-0.445372863,5.686354043,-5.636074648,3.36E-06,0.000113423,4.405626139,ZNF436
